"","line","name","notes","objectid","url","coords.x1","coords.x2"
"45","A-C-E","Spring St","A-nights, C-all other times, E-all times",395,"http://web.mta.info/nyct/service/",-74.0037389984376,40.7262270012931
"46","N-Q-R-W","Prince St","N-all times, Q-nights, R-all times exc nights",400,"http://web.mta.info/nyct/service/",-73.9977020004599,40.7243286659757
"47","N-Q-R-W","8th St - NYU","N-all times, Q-nights, R-all times exc nights",401,"http://web.mta.info/nyct/service/",-73.9925079984915,40.7304649985399
"48","2-3","Fulton St","2-all times, 3-all times exc nights",402,"http://web.mta.info/nyct/service/",-74.006570999702,40.7094159992587
"49","2-3","Park Pl","2-all times, 3-all times exc nights",403,"http://web.mta.info/nyct/service/",-74.0088109999736,40.7130509990777
"50","1-2-3","Chambers St","1,2-all times, 3-all times exc nights",404,"http://web.mta.info/nyct/service/",-74.0092660017011,40.7154780001133
"51","E","World Trade Center","E-all times",409,"http://web.mta.info/nyct/service/",-74.009744615177,40.7125639268082
"52","A-C-E","Canal St - Holland Tunnel","A,E-all times, C-all times exc nights",410,"http://web.mta.info/nyct/service/",-74.0052290023424,40.7208240000712
"53","J-Z","Fulton St","J-all times, Z-rush hours AM westbound, PM eastbound",413,"http://web.mta.info/nyct/service/",-74.0079380011039,40.7100226665842
"54","J-Z","Chambers St","J-all times, Z-rush hours AM westbound, PM eastbound",414,"http://web.mta.info/nyct/service/",-74.0034067303134,40.7132337896267
"55","J-Z","Canal St","J-all times, Z-rush hours AM westbound, PM eastbound",415,"http://web.mta.info/nyct/service/",-73.9998263854594,40.7181738769739
"56","R-W","City Hall","N-nights, R-all other times",416,"http://web.mta.info/nyct/service/",-74.0069858178034,40.713272331117
"57","R-W","Canal St","N-nights, R-all other times",417,"http://web.mta.info/nyct/service/",-74.0018260000577,40.719465001059
"58","1","South Ferry","1-all times",418,"http://web.mta.info/nyct/service/",-74.0131689591926,40.7017305075745
"59","4-5","Bowling Green","4-all times, 5-all times exc nights",419,"http://web.mta.info/nyct/service/",-74.0140079980343,40.7049139992808
"60","4-5","Wall St","4-all times, 5-weekdays",420,"http://web.mta.info/nyct/service/",-74.0118619986011,40.707557000866
"61","R-W","Whitehall St","N-nights, R-all other times",421,"http://web.mta.info/nyct/service/",-74.0130072374272,40.7031423735991
"62","R-W","Rector St","N-nights, R-all other times",422,"http://web.mta.info/nyct/service/",-74.0129745625379,40.7077447562945
"63","1","Rector St","1-all times",425,"http://web.mta.info/nyct/service/",-74.0137830011974,40.7075129995218
"64","1","Cortlandt St","Temporarily closed",426,"http://web.mta.info/nyct/service/",-74.0121880011229,40.7118350008202
"65","4-5","Fulton St","4-all times, 5-weekdays",427,"http://web.mta.info/nyct/service/",-74.0095089985646,40.7103679988221
